product;coord_x;coord_y;label
Samsung C3300 Beat Mix GSM c/ conte;-3.90168E+016;2234730000000000;Celular
Nextel Motorola I1 R$ 899.99 Novo 6 meses de garantia;-5502540000000000;2.5402E+016;Celular
Celular Samsung Tri Chip E1263 Grafite com Display de 2.0 e R;-3.07626E+016;3232940000000000;Celular
Samsung Galaxy Note N7000 Desbloqueado;-5371860000000000;467401000000000;Celular
Celular Desbloqueado LG C310 NeoSmart Dual Chip - Display 2.4;-2300320000000000;2.13297E+016;Celular
Samsung Ch@t 3322 Desbl. Camera Mp3 Radio FM;-2.45863E+016;8179770000000000;Celular
Celular Dual Chip MEU SN45 Carrossel - Câmera Digital TV Analógica Rádio FM Cartão 2GB;-303623000000000;9.51301E+015;Celular
Smartphone Samsung Galaxy S Duos (GT-S7562) - Dual Chip - Android 4.0 - Display 4 - Processador 1 GHz - GPS - Wi-fi - C;-4.36199E+015;4998380000000000;Celular
Smartphone Razr D1 XT918 Preto Dual Chip Tela 3.5. 3G. Wi-Fi. Android 4.1. TV Digital. Processador 1Ghz. C;-4098400000000000;4.31795E+015;Celular
Motorola EX109 Motokey Mini Cinza CELULAR DESBLOQUEADO Dual Chip.Teclado QWERTY. Zoom digital 4x. Gravador. FM. Internet Opera Mini e Cart;-6341830000000000;2357440000000000;Celular
iPhone Apple 3GS Preto Desbloqueado c/ 8GB. C;-5.05205E+016;2.17338E+016;Celular
Telefone Celular F45 Black - Freecel;3.2573E+016;6610430000000000;Celular
Celular Samsung Claro Ch@t 335. Teclado QWERTY. C;-2843020000000000;1632640000000000;Celular
Smartphone Nokia N97 Mini Preto. 3G. Touchscreen. GPS. Bluetooth. C;-4694330000000000;2.59064E+016;Celular
Alcatel OT-890 GSM Desbloqueado;-5.88358E+016;-9.11352E+015;Celular
Celular Nokia Asha 303 Vermelho - GSM c/ Processador de 1GHz. Wi-Fi. 3G.Touchscreen. Teclado QWERTY. C;-4.09606E+016;2552390000000000;Celular
Multilaser Celular Mirage Star c/ Dual Chip Preto/Vermelho P3111(Desbloqueado);-3.13978E+016;2.07268E+016;Celular
Celular Desbloqueado Multilaser Plus P3177 Preto c/ R;1256990000000000;-2.29859E+016;Celular
Celular LG GS155 - GSM c/ C;-3845410000000000;2.26241E+016;Celular
Celular Desbloqueado Motokey Mini EX109 Cinza MOTOROLA;-6568380000000000;2.02243E+016;Celular
Celular Alcatel OT678 Tri-Chip c/ R;-566239000000000;-91818800000000;Celular
Celular Smartphone LG L5;-503005000000000;161953000000000;Celular
Celular Mirage Star Desbloq Dual Chip C;-3.18615E+016;1938770000000000;Celular
SMARTPHONE SAMSUNG GALAXY W I8150 - Samsung;-5.10976E+016;1.10743E+016;Celular
Smartphone Samsung B5512 Galaxy Y Pro Duos com Display 2.6. C;-4.57678E+016;1161060000000000;Celular
Smartphone Sony Xperia E C1604 Dual Chip - Android 4.0. C;-4857090000000000;1.54891E+016;Celular
Celular Desbloqueado LG GX200 Preto c/ Dois Chips. C;-3507760000000000;1.52022E+016;Celular
Smartphone Sony Ericsson Xperia neo 3G Android 2.3 Wi-Fi C;-4560150000000000;1.58395E+016;Celular
Smartphone 3G LG P500 Touch Wi-Fi Android 2.2 C;-4.40713E+015;1605320000000000;Celular
Celular Desbloqueado Samsung Galaxy Star Trios S5283 Cinza com Trial Chip. Android 4.1. Câmera 2MP. Wi-Fi. 3G e Bluetooth;-3994750000000000;8927790000000000;Celular
Alcatel OT800 Preto c/ Rosa - GSM c/ Teclado Qwerty. C;-5.81774E+016;-9.06893E+015;Celular
Celular Desbloqueado X630D Branco Laranja - Dual Chip. QWERTY. C;-2.76271E+016;2.43528E+016;Celular
Smartphone LG P500 Optimus One Desbloqueado Capa Gr;-4770010000000000;1.76175E+016;Celular
Smartphone Nokia E5-00 Preto / Prata Desbloqueado 3G c/Wi-Fi QWERTY MP3 R;-4592610000000001;274072000000000;Celular
Celular Nokia 303 Vermelho- C;-3.2455E+016;2775630000000000;Celular
Celular ZTE R221 Desbloqueado Preto / Rosa c / C;-2.36544E+016;2401430000000000;Celular
Celular Gradiente GC200QB Handy Desbloqueado com Dual Chip - Preto/Branco;-2.8704E+016;2.34833E+016;Celular
LG Town C300 GSM Desbloqueado;-3.95155E+016;1.8779E+016;Celular
Telefone Celular STD CD55Q STI Dual Chip. Bluetooth. R;-2752630000000000;1.30733E+016;Celular
Celular Dual Chip Motorola Motokey EX109 Mini - C;-6.22866E+016;2245680000000000;Celular
CELULAR SAMSUNG I-9100 GALAXY SII TOUCH / GSM. 3G. 4G QUADRIBAND GSM / 16GB /8MP /ANDROID /FULLHD /DESBLOAQUEADO;-4423940000000000;1.15639E+016;Celular
Celular Multilaser Neo Trip Chip - Câmera Integrada Rádio Fm Toquers MP3;-2.43984E+016;8681490000000000;Celular
Celular OT632 Dual Chip. TV Anal;-5606110000000000;-9.3084E+015;Celular
Celular Alcatel OT-255 GSM;-5881370000000000;-910472000000000;Celular
Smartphone Nokia Lumia 820 Branco Nacional.;-4908610000000000;2.99956E+016;Celular
Smartphone Samsung Wave 533 Preto;-4.93325E+016;1646670000000000;Celular
Celular Samsung Duos C3322. Desbloqueado. Cinza. Dual Chip. C;-3402820000000000;1.92216E+016;Celular
Celular ZTE X993 Desbloqueado. Preto / Vermelho. Dual Chip. C;-3.0712E+016;2112310000000000;Celular
"Celular Samsung I8190 Galaxy SIII Mini Grafite. Android 4.1. Tela 4.0"". Câmera 5MP. Processador 1GHz. 3G. Wi-Fi. GPS. Bluetooth e Memória de 8GB";-4.13479E+016;5981780000000001;Celular
Smartphone Nokia C5-03 - GSM - Desbloqueado Claro c/ Tecnologia 3G. Wi-Fi. GPS. TouchScreen c/ tela de 3.2. C;-4595610000000000;2.27139E+016;Celular
Celular Samsung C-6712 Star II Desbloqueado 2Chips;-5543610000000000;8810990000000000;Celular
Celular Nokia C2-00 Branco Dual Chip c/ C;-3.02497E+016;2.73263E+016;Celular
CELULAR MOTOROLA MOTOKEY SOCIAL EX225;-6416870000000000;1.8769E+016;Celular
Celular ZTE-G R352. C;-2367480000000000;2541040000000000;Celular
Celular Nokia Asha 200 Desbloqueado Oi. Branco. Dual Chip. C;-3080530000000000;2.67899E+016;Celular
Samsung Galaxy Gran Duos I9082 - Dual Chip;-46947000000000;9.3905E+015;Celular
Smartphone Galaxy Y GT-S5360B Samsung Android 2.3 3G Quad Band Wi-Fi Bluetooth Touch MP3 A-GPS C;-4.35361E+016;81340600000000;Celular
