product;coord_x;coord_y;label
Samsung C3300 Beat Mix GSM c/ conte;-3,90168E+16;2,23473E+15;Celular
Nextel Motorola I1 R$ 899,99 Novo 6 meses de garantia;-5,50254E+15;2,5402E+16;Celular
Celular Samsung Tri Chip E1263 Grafite com Display de 2.0 e R;-3,07626E+16;3,23294E+15;Celular
Samsung Galaxy Note N7000 Desbloqueado;-5,37186E+15;4,67401E+14;Celular
Celular Desbloqueado LG C310 NeoSmart Dual Chip - Display 2.4;-2,30032E+15;2,13297E+16;Celular
Samsung Ch@t 3322 Desbl. Camera Mp3 Radio FM;-2,45863E+16;8,17977E+15;Celular
Celular Dual Chip MEU SN45 Carrossel - Câmera Digital TV Analógica Rádio FM Cartão 2GB;-3,03623E+14;9,51301E+15;Celular
Smartphone Samsung Galaxy S Duos (GT-S7562) - Dual Chip - Android 4.0 - Display 4 - Processador 1 GHz - GPS - Wi-fi - C;-4,36199E+15;4,99838E+15;Celular
Smartphone Razr D1 XT918 Preto Dual Chip Tela 3.5, 3G, Wi-Fi, Android 4.1, TV Digital, Processador 1Ghz, C;-4,0984E+15;4,31795E+15;Celular
Motorola EX109 Motokey Mini Cinza CELULAR DESBLOQUEADO Dual Chip,Teclado QWERTY, Zoom digital 4x, Gravador, FM, Internet Opera Mini e Cart;-6,34183E+15;2,35744E+15;Celular
iPhone Apple 3GS Preto Desbloqueado c/ 8GB, C;-5,05205E+16;2,17338E+16;Celular
Telefone Celular F45 Black - Freecel;3,2573E+16;6,61043E+15;Celular
Celular Samsung Claro Ch@t 335, Teclado QWERTY, C;-2,84302E+15;1,63264E+15;Celular
Smartphone Nokia N97 Mini Preto, 3G, Touchscreen, GPS, Bluetooth, C;-4,69433E+15;2,59064E+16;Celular
Alcatel OT-890 GSM Desbloqueado;-5,88358E+16;-9,11352E+15;Celular
Celular Nokia Asha 303 Vermelho - GSM c/ Processador de 1GHz, Wi-Fi, 3G,Touchscreen, Teclado QWERTY, C;-4,09606E+16;2,55239E+15;Celular
Multilaser Celular Mirage Star c/ Dual Chip Preto/Vermelho P3111(Desbloqueado);-3,13978E+16;2,07268E+16;Celular
Celular Desbloqueado Multilaser Plus P3177 Preto c/ R;1,25699E+15;-2,29859E+16;Celular
Celular LG GS155 - GSM c/ C;-3,84541E+15;2,26241E+16;Celular
Celular Desbloqueado Motokey Mini EX109 Cinza MOTOROLA;-6,56838E+15;2,02243E+16;Celular
Celular Alcatel OT678 Tri-Chip c/ R;-5,66239E+14;-9,18188E+13;Celular
Celular Smartphone LG L5;-5,03005E+14;1,61953E+14;Celular
Celular Mirage Star Desbloq Dual Chip C;-3,18615E+16;1,93877E+15;Celular
SMARTPHONE SAMSUNG GALAXY W I8150 - Samsung;-5,10976E+16;1,10743E+16;Celular
Smartphone Samsung B5512 Galaxy Y Pro Duos com Display 2,6, C;-4,57678E+16;1,16106E+15;Celular
Smartphone Sony Xperia E C1604 Dual Chip - Android 4.0, C;-4,85709E+15;1,54891E+16;Celular
Celular Desbloqueado LG GX200 Preto c/ Dois Chips, C;-3,50776E+15;1,52022E+16;Celular
Smartphone Sony Ericsson Xperia neo 3G Android 2.3 Wi-Fi C;-4,56015E+15;1,58395E+16;Celular
Smartphone 3G LG P500 Touch Wi-Fi Android 2.2 C;-4,40713E+15;1,60532E+15;Celular
Celular Desbloqueado Samsung Galaxy Star Trios S5283 Cinza com Trial Chip, Android 4.1, Câmera 2MP, Wi-Fi, 3G e Bluetooth;-3,99475E+15;8,92779E+15;Celular
Alcatel OT800 Preto c/ Rosa - GSM c/ Teclado Qwerty, C;-5,81774E+16;-9,06893E+15;Celular
Celular Desbloqueado X630D Branco Laranja - Dual Chip, QWERTY, C;-2,76271E+16;2,43528E+16;Celular
Smartphone LG P500 Optimus One Desbloqueado Capa Gr;-4,77001E+15;1,76175E+16;Celular
Smartphone Nokia E5-00 Preto / Prata Desbloqueado 3G c/Wi-Fi QWERTY MP3 R;-4,59261E+15;2,74072E+14;Celular
Celular Nokia 303 Vermelho- C;-3,2455E+16;2,77563E+15;Celular
Celular ZTE R221 Desbloqueado Preto / Rosa c / C;-2,36544E+16;2,40143E+15;Celular
Celular Gradiente GC200QB Handy Desbloqueado com Dual Chip - Preto/Branco;-2,8704E+16;2,34833E+16;Celular
LG Town C300 GSM Desbloqueado;-3,95155E+16;1,8779E+16;Celular
Telefone Celular STD CD55Q STI Dual Chip, Bluetooth, R;-2,75263E+15;1,30733E+16;Celular
Celular Dual Chip Motorola Motokey EX109 Mini - C;-6,22866E+16;2,24568E+15;Celular
CELULAR SAMSUNG I-9100 GALAXY SII TOUCH / GSM, 3G, 4G QUADRIBAND GSM / 16GB /8MP /ANDROID /FULLHD /DESBLOAQUEADO;-4,42394E+15;1,15639E+16;Celular
Celular Multilaser Neo Trip Chip - Câmera Integrada Rádio Fm Toquers MP3;-2,43984E+16;8,68149E+15;Celular
Celular OT632 Dual Chip, TV Anal;-5,60611E+15;-9,3084E+15;Celular
Celular Alcatel OT-255 GSM;-5,88137E+15;-9,10472E+14;Celular
Smartphone Nokia Lumia 820 Branco Nacional.;-4,90861E+15;2,99956E+16;Celular
Smartphone Samsung Wave 533 Preto;-4,93325E+16;1,64667E+15;Celular
Celular Samsung Duos C3322, Desbloqueado, Cinza, Dual Chip, C;-3,40282E+15;1,92216E+16;Celular
Celular ZTE X993 Desbloqueado, Preto / Vermelho, Dual Chip, C;-3,0712E+16;2,11231E+15;Celular
"Celular Samsung I8190 Galaxy SIII Mini Grafite, Android 4.1, Tela 4.0"", Câmera 5MP, Processador 1GHz, 3G, Wi-Fi, GPS, Bluetooth e Memória de 8GB";-4,13479E+16;5,98178E+15;Celular
